id,age,occ_title,occ_desc,occ_desig_fromscore,occ_desig,firm_name,firm_type,firm_back_fromscore,occ_oth_title,occ_oth_desc,occ_oth_comp,sector,INDUSTRYSECTOR,sal_a,qual_fromscore,qual_add,educ_fos,exp_fromscore,COMPANYBACKGROUND
4256,43,PROFESSOR,"RESEARCH, TEACHING AND ADMINISTRATION",Technical Experts,DIRECTOR OF STUDIES,THE UNIVERSITY OF NOTTINGHAM IN MALAYSIA SENDIRIAN BERHAD,Joint Venture,"LLC, LFC, Private IHLs, NGO",,,,Education,ETP IDENTIFIED : EDUCATION,21004.16602,PhD/Double Masters/Masters+,N/A,N/A,>15 years,"IPTS<br/><br/>I.E UNIVERSITY OF NOTTINGHAM<br/><br/>REVENUE : RM 113,373,188<br/>PROFIT BEFORE  & AFTER TAX : RM 7,343,470<br/>"
4257,41,IAG MALAYSIA CONTROLLER,"?ÇóORGANIZATION PLANNING & DESIGN TO DEVELOP SUCCESSFUL HIGH PERFORMING TEAM IN CORE BUSINESS AREAS<br/>?ÇóMANAGE TEAM OF ANALYSTS SUPPORTING VARIOUS GROUPS & BU?ÇÖS - FINANCIAL PLANNING & ANALYSIS, PRODUCT COSTING AND STRATEGIC INITIATIVES ?Çô DRIVING COST OPTIMIZATION OPPORTUNITIES & EFFICIENCIES<br/>?ÇóESTABLISHED WORKING LEVEL AGREEMENTS, CREDIBILITY & ALIGNMENT WITH BU?ÇÖS TO SIGNIFICANTLY INCREASE BUSINESS PROCESS EFFICIENCIES & ENABLE LOCAL FINANCE TEAM VISIBILITY & INFLUENCING ON COST OPTIMIZATION OPPORTUNITIES<br/>?ÇóKEY ROLE IN DRIVING MULTIPLE NEW BUSINESS INITIATIVES LOCALLY ?Çô FUNDING INVESTMENT DECISION, BUSINESS PLANS, GO-TO-MARKET STRATEGIES ?Çô 2012-13- $5M INVESTMENT WITH SIGNIFICANT PROJECT RETURNS EG. NUC, ESSENTIAL PC<br/>?ÇóENGAGED IN ACTIVITIES RELATED TO KEY CORPORATE EMERGING & CURRENT BUSINESS CHALLENGES IN NEW BUSINESS SEGMENTS TO DRIVE COMPETITIVENESS & AFFORDABILITY ?Çô PRODUCT SEGMENTATION, BACK-END DEVELOPMENT COST AFFORDABILITY<br/>?ÇóPARTNER & LEAD SITE INITIATIVES IN LINE FOR KEY CORPORATE PROGRAMS TO ENSURE FLAWLESS EXECUTION & COMPETITIVENESS <br/>?ÇóTAKE THE HIRING TEAM ACTIVITIES TO THE NEXT LEVEL WITH CRITICAL SKILLSET SOURCING STRATEGIES, SHIFT IN HIRING MIX, RETENTION & INTEGRATION ACTIVITIES ?Çô FOCUS ON HIRING THE BEST & BRIGHTEST ?Çô 2013 HIRED ~30 FINANCE PROFESSIONALS",Technical Experts,"IAG (INTEL ARCHITECTURE GROUP) MALAYSIA CONTROLLER / FINANCE CONTROLLER<br/><br/>DRIVE MULTIPLE NEW BUSINESS INITIATIVES LOCALLY: FUNDING INVESTMENT DECISION, BUSINESS PLANS, GO-TO-MARKET STRATEGIES",INTEL TECHNOLOGY SDN BHD,Foreign Owned,Mulnationals/GLC/MYS Strong Performers/ITAPS,AUDIT TRAINEE,"?ÇóSTATUTORY AUDITS, INTERNAL AUDITS AND SPECIAL MANAGEMENT ASSIGNMENTS OF VARIOUS COMPANIES, INCLUDING MULTI-NATIONAL COMPANIES & SMALL & MEDIUM ENTERPRISES. <br/>?ÇóAPPLICATION OF VARIOUS COMMERCIAL LAWS TO FINANCIAL TRANSACTIONS AND COMPLIANCE TO CORPORATE &PERSONAL INCOME TAX REQUIREMENTS.<br/>",PRICEWATERHOUSE COOPERS,Electronics & Electrical,ETP IDENTIFIED I.E. ELECTRONICS AND ELECTRICAL,32004.5,PhD/Double Masters/Masters+,N/A,N/A,>15 years,"MNC<br/><br/>GLOBAL REVENUE 2012: US$ 53.34 BILLION<br/>LOCAL REVENUE TABLED TO ROC 2013: RM5,623,337,158<br/>PROFIT BEFORE TAX: RM756 MILLION<br/>PROFIT AFTER TAX: RM759 MILLION"
4259,60,GENERAL MANAGER (FINANCE),DETAILS ATTACHED,Technical Experts,GENERAL MANAGER (FINANCE),RECRON (MALAYSIA) SDN BHD,Foreign Owned,Mulnationals/GLC/MYS Strong Performers/ITAPS,,,,Other,OTHERS I.E. MANUFACTURING OF POLYESTER,44195.5,PhD/Double Masters/Masters+,N/A,N/A,>15 years,"MNC<br/><br/>RECRON MALAYSIA IS PART OF THE RELIANCE GROUP, WHICH IS A FORTUNE GLOBAL 500 CORPORATION WITH APPROXIMATELY 120,000 EMPLOYEES.<br/><br/>GLOBAL REVENUE 2012: US$15.4 BILLION<br/>LOCAL REVENUE TABLED TO ROC 2013: RM3,106,020<br/>LOSS BEFORE & AFTER TAX: (RM67,760)"
4260,59,GENERAL MANGER - TECHNICAL TRAINING,MANAGE THE TECHNICAL SERVICES TRAINING DEPARTMENT TO SUPPORT SCOMI OILTOOLS WORLDWIDE DRILLING FLUIDS TECHNICAL TRAINING REQUIRMENTS.,Technical Experts,"GENERAL MANGER - TECHNICAL TRAINING<br/><br/>MANAGE THE TECHNICAL TRAINING DIVISION, ENGINEERING SOFTWARE, AND DESIGN AND ROLE OF A DRILLING FLUIDS COMPETENCY SYSTEM",SCOMI OILTOOLS SDN BHD,Locally Owned,Mulnationals/GLC/MYS Strong Performers/ITAPS,MUD LOGGER,MUD LOGGING DUTIES AT FIELD LOCATIONS - GEOLOGICAL SAMPLE CATCHING AND ANALYSIS ,GEARHART GEODATA,"Oil, Gas & Energy","ETP IDENTIFIED I.E. OIL, GAS & ENERGY",62065.58203,Master,N/A,N/A,>15 years,"MNC<br/><br/>GLOBAL SERVICE PROVIDER FOR OIL & GAS AND TRANSPORT ENGINEERING. LISTED ON THE MAIN BOARD OF BURSA MALAYSIA SECURITIES BERHAD.<br/><br/>REVENUE TABLED TO ROC 2012: RM397,377,000<br/>PROFIT BEFORE TAX: RM38 MILLION<br/>PROFIT AFTER TAX: RM25 MILLION"
4261,49,REGIONAL MANAGER,RESPONSIBLE FOR ASIA PACIFIC SPERRY PRODUCT LINE AT HALLIBURTON. BUSINESS PLANS / SERVICE QUALITY / SAFETY / NATIONALIZATION AND PEOPLE DEVELOPMENT ALONG WITH THE INTRODUCTION OF NEW TECHNOLOGY.,Technical Experts,SR TECH PROFESSIONAL MANAGER,ASIA ENERGY SERVICES,Foreign Owned,Mulnationals/GLC/MYS Strong Performers/ITAPS,,,,"Oil, Gas & Energy","ETP IDENTIFIED : OIL, GAS & ENERGY",64893.83203,Bachelors including Engineering Degree,N/A,N/A,>15 years,"MNC<br/><br/>REVENUE : RM 128,255,935<br/>PROFIT BEFORE TAX : RM 43,394,705<br/>PROFIT AFTER TAX : RM 39,824,531"
4262,43,REGIONAL HEAD OF OPERATIONS ,"?ÇóENSURE THAT ALL DEPARTMENTS OF THE CONTACT CENTER UNDERSTAND OUR CLIENT NEEDS AND PROVIDE EXCELLENT QUALITY OF SERVICE TO CLIENTS.<br/>?ÇóENSURE THAT THE CONTACT CENTER IS PRODUCTIVE, EFFICIENT AND COST EFFECTIVE IN ALL ITS OPERATIONS.<br/>?ÇóMEASURE AND ANALYZE STAFF PERFORMANCE AND SET CLEAR STANDARDIZED KPI. SET CLEAR OBJECTIVES AND STANDARDS AND ENSURE THAT PROCESSES ARE IN PLACE BOTH TO MEASURE PERFORMANCE AGAINST THESE AND TO TAKE CORRECTIVE ACTION.  <br/>?ÇóCOOPERATE AND WORK CLOSELY WITH THE S&SEA REGIONAL OFFICE TO ENSURE OPERATIONAL POLICIES, REGIONAL AND CORPORATE DIRECTIVES, PROJECTS AND INITIATIVES ARE EFFECTIVELY IMPLEMENTED WITHIN THE ASSISTANCE PLATFORM. <br/>?ÇóENSURE THAT STANDARD POLICIES, WORKFLOWS AND PROCEDURES ARE IN PLACE TO SUPPORT THE OPERATION OF THE CONTACT CENTER. <br/>?ÇóSTRIVE TO BE COMPLIANT TO THE CONTACT CENTER STANDARDS, MEDICAL TRANSPORT STANDARDS AND MAGELLAN BUSINESS RULE.<br/>?ÇóENSURE THAT THE GLOBAL ASSISTANCE NETWORK IS DEVELOPED TO BOTH LEAD AND SUPPORT THE GROWTH OF BUSINESS OPPORTUNITIES, STRONG FOCUS ON RIGHTSIZING.<br/>?ÇóIMPLEMENT AND INTEGRATE THE APPROPRIATE IT SYSTEMS AND TECHNOLOGIES WITH FOCUS ON CHANGE MANAGEMENT TO ENSURE CONTINUOUS IMPROVEMENT OF QUALITY, PROFITABILITY AND EFFICIENCIES WITHIN THE CONTACT CENTER AND CROSS FUNCTIONAL<br/>?ÇóCREATE AN CONTACT CENTER WORKING ENVIRONMENT WHICH IS BUILT ON THE COMPANY?ÇÖS CORE VALUES. <br/>?ÇóWORK CLOSELY WITH HR TO ENSURE THAT THE CONTACT CENTER IS APPROPRIATELY STAFFED WITH CAPABLE, QUALIFIED EMPLOYEES THROUGH APPROPRIATE RECRUITMENT, DEPLOYMENT AND RETENTION OF STAFF.  <br/>?ÇóHAVE A STRONG FOCUS ON PEOPLE DEVELOPMENT TO DRIVE STAFF RETENTION AND CONSISTENT GROWTH OF EXPERIENCED STAFF WITHIN THE CONTACT CENTER, AND CROSS FUNCTIONAL<br/>?ÇóENSURE THAT ALL CONTACT CENTER STAFF ARE APPROPRIATELY ORIENTED INTO THE COMPANY AS NEW STARTS, AND THEN TRAINED AND DEVELOPED ON AN ONGOING BASIS.<br/>?ÇóWORK CLOSELY WITH SINGAPORE CONTACT CENTRE TO OPTIMIZE EFFICIENCIES DURING CASES<br/>?ÇóLIAISE WITH THE FINANCE AND MARKETING DEPARTMENTS TO DRIVE MAXIMUM INCOME FROM ASSISTANCE SERVICES, TRACKING DAILY AND WEEKLY FINANCIAL PERFORMANCE.<br/>?ÇóBE RESPONSIBLE FOR THE PROFITABILITY OF THE CONTACT CENTER AND CREATING THE ORGANIZATIONAL STRUCTURE THAT CAN DRIVE REVENUE ENHANCING ACTIVITIES AND AIM TOWARDS CAPTURING PRIVATE CASE OPPORTUNITIES<br/>?ÇóWORK CLOSELY WITH SALES AND MARKETING DURING ACQUISITION OF NEW CLIENTS TO ENSURE CLEAR DELIVERY PROCESSES TO MEET SLA & CONTRACT DELIVERABLES<br/>?ÇóSUPPORT SALES & MARKETING BY DEFINING THE CONTACT CENTER CAPABILITY, TRUE VALUE PROPOSITION AND COST REQUIREMENTS FOR CLIENT PRESENTATIONS, PRODUCTS AND SERVICES.<br/>?ÇóWORK WITH THE MANAGEMENT TEAM TO DEVISE WAYS TO INCREASE NEW PRODUCT OFFERING AND DEVELOPMENT, BASED ON INPUT FROM THE OPERATIONS, MEDICAL AND SALES & MARKETING TEAMS.<br/>?ÇóENSURE THAT CORRECTIVE SYSTEMS AND PROCEDURES ARE ESTABLISHED WITHIN THE CONTACT CENTER TO ADDRESS CLIENT COMPLAINTS.<br/>?ÇóENSURE THAT OPERATIONS-RELATED INFORMATION NECESSARY FOR INTERNAL AND EXTERNAL REPORTING IS AVAILABLE AND ACCESSIBLE.  MAKE SURE MECHANISMS EXIST TO EXTRACT THIS INFORMATION, AND THAT THE INFORMATION HAS INTEGRITY. <br/>?ÇóENSURE THAT CONTACT CENTER DATA IS CONSOLIDATED AS NECESSARY, AND THAT ALL RELEVANT REPORTS ARE COMPLETED ACCURATELY AND IN A TIMELY MANNER.  <br/>?ÇóBE RESPONSIBLE FOR REPORTING ON INDIVIDUAL & DEPARTMENTAL PERFORMANCE ACROSS THE PLATFORMS<br/>?ÇóIDENTIFY TRAINING NEEDS & ADDRESS REQUIREMENTS<br/>?ÇóFLOAT MANAGEMENT IN LIAISON WITH FINANCE DEPARTMENT (WIP)<br/>",Top Management (CEO/CFO/COO),REGIONAL HEAD OF OPERATIONS ,INTERNATIONAL SOS (MALAYSIA) SDN BHD,Foreign Owned,"LLC, LFC, Private IHLs, NGO",,,,Business Services,ETP IDENTIFIED I.E. BUSINESS SERVICES,43661.66797,Diploma/Vocational/Certificates,N/A,N/A,>15 years,"LFC<br/><br/>PROVIDES INTEGRATED MEDICAL, CLINICAL & SECURITY SERVICES INCLUDING PREVENTATIVE PROGRAMS, IN-COUNTRY EXPERTISE, & EMERGENCY RESPONSE. HAS APPROXIMATELY 11,000 EMPLOYEES, LED BY 1,200 FULL-TIME PHYSICIANS & 200 SECURITY SPECIALISTS. ITS CLIENTS INCLUDE 81% OF THE FORTUNE GLOBAL 100 & 61% PERCENT OF THE FORTUNE GLOBAL 500 COMPANIES.<br/><br/>REVENUE TABLED TO ROC 2013: RM69,964,738<br/>LOSS BEFORE & AFTER TAX: (RM531,467)"
4263,67,PRINCIPAL LECTURER,MARITIME EDUCATION TRAINING AND RESEARCH,Technical Experts,PRINCIPAL LECTURER,MALAYSIAN MARITIME ACADEMY SDN BHD,U,Mulnationals/GLC/MYS Strong Performers/ITAPS,,,,Education,ETP IDENTIFIED : EDUCATION,15685,PhD/Double Masters/Masters+,N/A,N/A,>15 years,"GLC<br/><br/>REVENUE : RM 36,516,302<br/>LOSS BEFORE TAX : (RM2,352,580)<br/>LOSS AFTER TAX : (RM2,247,508)"
4265,64,MANAGING DIRECTOR,MANAGING DIRECTOR,Top Management (CEO/CFO/COO),MANAGING DIRECTOR,KANSAI COATINGS MALAYSIA SDN BHD,Foreign Owned,"LLC, LFC, Private IHLs, NGO",GENERAL MANAGER OF PRODUCTION ENGINEERING DEPT,GENERAL MANAGER OF PRODUCTION ENGINEERING DEPT,KANSAI PAINT CO LTD,Wholesale & Retail,ETP IDENTIFIED : WHOLESALE & RETAIL,55388.16797,Bachelors including Engineering Degree,N/A,N/A,>15 years,"LFC<br/><br/>REVENUE : RM 238,991,960<br/>PROFIT BEFORE TAX : RM 3,188,728<br/>PROFIT AFTER TAX : RM 3,197,478"
4266,47,RETAIL OPERATIONS DIRECTOR,OVERSEEING THE DAILY OPERATIONS OF ALL GCH RETAIL,Top Management (CEO/CFO/COO),RETAIL OPERATIONS DIRECTOR,GCH RETAIL (MALAYSIA) SDN BHD,Foreign Owned,Mulnationals/GLC/MYS Strong Performers/ITAPS,,,,Wholesale & Retail,ETP IDENTIFIED I.E. WHOLESALE & RETAIL,,Diploma/Vocational/Certificates,N/A,N/A,>15 years,"MNC<br/><br/>GCH RETAIL IS MALAYSIA\'S LEADING RETAILER THAT CONSISTS OF GIANT HYPERMARKETS, GUARDIAN PHARMACY, & COLD STORAGE SUPERMARKETS WITH MORE THAN 13,000 EMPLOYEES.<br/><br/>THE CO WAS ACQUIRED BY THE DAIRY FARM GROUP IN 1999, WHICH IS A MAJOR PAN-ASIAN RETAILER LISTED ON THE LONDON STOCK EXCHANGE, WITH SECONDARY LISTINGS ON THE SINGAPORE AND BERMUDA STOCK EXCHANGES.<br/><br/>REVENUE TABLED TO ROC 2013: RM5,537,056,000<br/>PROFIT BEFORE TAX: RM161 MILLION<br/>PROFIT AFTER TAX: RM104 MILLION"
4267,36,MANAGER BUSINESS DEVELOPMENT AND MERGER & ACQUISITION,"1.INTERACT WITH CMO / CONSULTING FIRMS TO DETERMINE TARGET SELECTION AND IDENTIFY IN-ORGANIC GROWTH POTENTIAL<br/>2.PREPARE BUSINESS CASE FOR BOARD APPROVALS FOR OPTIMUM FUND UTILIZATION<br/>3.TO MANAGE PROJECTS ARE CONDUCTED CREDIBLY AND RECOMMENDATIONS AND REPORTS ARE ACCURATE AND TIMELY<br/>4.TO DEVELOP CRITERIA AND PROCESS FOR DD AND PERFORM DD FIELD WORKS<br/>5.TO DEVELOP FINANCIAL CRITERIA AND ASSIST PLI TO SET UP DEAL TERMS<br/>6.TO DEVELOP CRITERIA?ÇÖS AND STRATEGY FOR DEAL NEGOTIATION<br/>7.TO ASSIST IN FIELD NEGOTIATION BRIDGE BETWEEN MANAGEMENT TEAM, CORPORATE FINANCE, LAWYERS AND TAX ADVISORS ENSURING DEAL TERMS ARE PROPERLY STRUCTURED AND REFLECTED IN M&A AGREEMENT<br/>8.TO DEVELOP POST MERGER INTEGRATION PROCESS AND THE MILESTONE CHART AND MONITOR THE PMI PROCESS<br/>",Technical Experts,"BUSINESS DEV AND MERGER & ACQUISITION MANAGER<br/><br/>ROLES:<br/>- PAPERWORK ON BUSINESS CASE FOR BOARD APPROVALS FOR OPTIMUM FUND UTILIZATION<br/>- FIELD NEGOTIATION BRIDGE BETWEEN MANAGEMENT TEAM, CORP. FINANCE, LAWYERS AND TAX ADVISOR<br/>- DEVELOP POST MERGER INTEGRATION PROCESS<br/>",PETRONAS LUBRICANTS INTERNATIONAL SDN BHD,Locally Owned,Mulnationals/GLC/MYS Strong Performers/ITAPS,HEAD MANAGEMENT CONSULTING,1.LEAD MANAGEMENT CONSULTING BUSINESS.<br/>2.DEVELOP MAJOR CUSTOMERS<br/>3.RESPONSIBLE FOR THE OVERALL NPAT OF MANAGEMENT CONSULTING DIVISION<br/>4.DESIGN AND IMPLEMENT CONSULTING BUSINESS FLOW<br/>5.SUPERVISE CONSULTING EXECUTION,"CBI CONSULTING CO., LTD.","Oil, Gas & Energy","ETP IDENTIFIED : OIL, GAS & ENERGY",77344.83594,Bachelors including Engineering Degree,N/A,N/A,11-15 years,"MSP<br/><br/>ITS FINANCIALS FOR 2012 WERE<br/><br/>REVENUE : RM 3,504,483,000<br/>PROFIT BEFORE TAX : RM 92,640,000<br/>PROFIT AFTER TAX : RM 49,790,000<br/><br/>"
4268,69,PROFESSOR,"HEAD OF ACCOUNTING & FINANCE DEPARTMENT, DEPUTY HEAD OF SCHOOL AND <br/>DIRECTOR OF RESEARCH",Technical Experts,PROFESSOR OF ACCOUNTING AND CORPORATE GOVERNANCE,MONASH UNIVERSITY MALAYSIA SDN BHD (FORMERLY KNOWN AS MONASH UNIVERSITY SUNWAY CAMPUS MALAYSIA SDN BHD),,"LLC, LFC, Private IHLs, NGO",,,,Education,ETP IDENTIFIED : EDUCATION,81467.5,PhD/Double Masters/Masters+,N/A,N/A,>15 years,"IPTA<br/><br/>REVENUE : RM 142,088,345<br/>PROFIT BEFORE TAX : RM 12,656,853<br/>PROFIT AFTER TAX : RM 12,903,930"
4270,36,R & D GROUP MANAGER,"SECTION MANAGER FOR EMBEDDED CONTROLLERS GROUP, R&D",Technical Experts,SR ENGINEERING MANAGER,NI MALAYSIA SDN BHD,Foreign Owned,Mulnationals/GLC/MYS Strong Performers/ITAPS,,,,Other,OTHERS : MANUFACTURING,58238.66797,Bachelors including Engineering Degree,N/A,N/A,>15 years,"MNC<br/><br/>REVENUE : RM 311,998,725<br/>LOSS AFTER TAX : (RM8,816,320)"
4271,38,REGIONAL FINANCE & OPERATION MANAGER,COORDINATING ALL FINANCE & ADMINISTRATION AND TAX REPORTING FUNCTIONS OF KINO OVERSEAS COMPANIES FOR REGION SOUTHEAST ASIA.,Technical Experts,REGIONAL FINANCE & OPERATION MANAGER,KINO CARE (M) SDN BHD,Joint Venture,Other (SME),,,,Wholesale & Retail,ETP IDENTIFIED I.E. WHOLESALE & RETAIL,13116.75,Diploma/Vocational/Certificates,N/A,N/A,11-15 years,"SME<br/><br/>REVENUE TABLED TO ROC 2010: RM11,177,331<br/>LOSS BEFORE & AFTER TAX: (RM583,646)"
4272,41,"HEAD OF POSTPAID MARKETING, MAXIS PERSONAL SERVICES","HEAD OF POSTPAID MARKETING INCLUDING MOBILE, WIRELESS BROADBAND AND DEVICE. RESPONSIBLE FOR DELIVERING REVENUE, MARKET SHARE AND PROFITABILITY FOR CONSUMER SEGMENT. ",Technical Experts,"HEAD OF POSTPAID MARKETING, MAXIS PERSONAL SERVICES<br/><br/>RESPONSIBLE FOR DELIVERING REVENUE, MARKET SHARE AND PROFITABILITY FOR CONSUMER SEGMENT",MAXIS BERHAD,Locally Owned,Mulnationals/GLC/MYS Strong Performers/ITAPS,,,,"Communication, Content & Infrastructure","ETP IDENTIFIED I.E. COMMUNICATIONS, CONTENT & INFRASTRUCTURE",44134.25,Master,N/A,N/A,>15 years,"MSP<br/><br/>REVENUE TABLED TO ROC 2013: RM8,966,828,000<br/>PROFIT BEFORE TAX: RM2.6 BILLION<br/>PROFIT AFTER TAX: RM1.9 BILLION"
4273,33,SENIOR LECTURER,"I HAVE BEEN HOLDING A LECTURER POSITION AT MONASH UNIVERSITY MALAYSIA SINCE DECEMBER 2010. THE LECTURESHIP POSITION INVOLVED THE RESEARCH AND TEACHING RESPONSIBILITIES FOR THE PAST FOUR YEARS AND HALF. I HAVE ALSO AWARDED A FEW EXTERNAL AND INTERNAL GRANTS EQUAL TO RM 250,000 DURING THE PAST YEARS. AT MONASH MALAYSIA. I HAVE BEEN ACTIVE IN VARIOUS RESEARCH AND ACADEMIC CONFERENCES AND SOCIETIES IN MALAYSIA FOR THE PAST TEN YEARS WHERE I LIVE IN MALAYSIA. ",Technical Experts,SENIOR LECTURER,MONASH UNIVERSITY MALAYSIA,,"LLC, LFC, Private IHLs, NGO",,,,Education,ETP IDENTIFIED SECTOR: EDUCATION,11370.58301,PhD/Double Masters/Masters+,N/A,N/A,>15 years,IPTS<br/><br/>MONASH UNIVERSITY MALAYSIA<br/>
4274,39,TECHNICAL LEAD,"LEADING A EMBEDDED SOFTWARE TEAM OF 3 PEOPLE. DESIGN, DEVELOPMENT OF SOFTWARE.  ",Technical Experts,TECHNICAL LEAD,EMBEDDED WIRELESS LABS SDN BHD ,Locally Owned,Other (SME),,,,ICT,ICT,12987.83301,PhD/Double Masters/Masters+,N/A,N/A,11-15 years,SME (& MSC MALAYSIA STATUS)<br/><br/>EMBEDDED WIRELESS LABS SDN BHD
4276,59,SENIOR CONSULTANT,"HOSPITAL SUPPORT SERVICES HOSPITALS, MALAYSIA<br/>BER-PPP PROJECT, M.O.H MALAYSIA",Technical Experts,SENIOR CONSULTANT (HOSPITAL MANAGEMENT INCORPORATED ENGINEER)<br/><br/>SPECIALISES IN ENVIRONMENTAL TECHNOLOGY & FACILITY MANAGEMENT & MAINTENANCE SERVICES,VAMED HEALTHCARE SERVICES SDN BHD,Foreign Owned,Mulnationals/GLC/MYS Strong Performers/ITAPS,SENIOR CONSULTANT,SENIOR CONSULTANT,ENVIRONMENTAL TECHNOLOGY CONSULTANCY,Business Services,ETP IDENTIFIED I.E. BUSINESS SERVICES,3333.333252,Diploma/Vocational/Certificates,N/A,N/A,>15 years,"MNC<br/><br/>VAMED IS THE LEADING EUROPEAN GROUP OF COMPANIES IN PLANNING, CONSTRUCTING, AND MANAGING COMPLEX PUBLIC HEALTH CARE FACILITIES AND HEALTH TOURISM WITH 4,432 STAFF.<br/><br/>THE LOCAL ENTITY IS A JOINT VENTURE BETWEEN THE VAMED GROUP AND TAMAN DESA HEALTHCARE MANAGEMENT COMPANY.<br/><br/>GROUP REVENUE 2012: EURO 846.4 MILLION<br/>REVENUE TABLED TO ROC 2013: RM156,000<br/>LOSS BEFORE & AFTER TAX: (RM3.7 MILLION)"
4278,57,DIRECTOR AND PRINCIPAL OFFICER,"- TO PROMOTE BUSINESS FROM ASIA REGION (INCLUDING CHINA, SOUTH KOREA, INDIA AND SURROUNDING COUNTRIES) AND TO PROMOTE TOKIO MARINE'S NAME.<br/>- TO ACHIEVE SUSTAINABLE GROWTH OF THE COMPANY AS WELL AS MAKING GOOD PROFIT.<br/>- TO EDUCATE / PROMOTE STAFF.<",Top Management (CEO/CFO/COO),DIRECTOR AND PRINCIPAL OFFICER,TOKIO MARINE GLOBAL RE ASIA LTD,Foreign Owned,Mulnationals/GLC/MYS Strong Performers/ITAPS,,,,Financial Services,ETP IDENTIFIED I.E. FINANCIAL SERVICES,27428.41602,Bachelors including Engineering Degree,N/A,N/A,>15 years,"MNC<br/><br/>A PROPERTY / CASUALTY INSURANCE SUBSIDIARY OF TOKIO MARINE HOLDINGS. TOKIO MARINE HOLDINGS IS A MULTINATIONAL INSURANCE HOLDING COMPANY HEADQUARTERED IN TOKYO & IS THE LARGEST PROPERTY / CASUALTY INSURANCE GROUP IN JAPAN IN TERMS OF REVENUE, EMPLOYING 29,000 PEOPLE IN 38 COUNTRIES WORLDWIDE.<br/><br/>GLOBAL REVENUE 2012: USD$1.2 BILLION<br/>SOURCE: http://ir.tokiomarinehd.com/en/FinHighlights.html<br/>NO LOCAL REVENUE TABLED TO ROC SINCE THE CO IS REGISTERED WITH LABUAN IBFC"
4279,56,PLANNING CONSULTANT,"PREPARE CONSTRUCTION PROGRAMS FOR TENDERS AND LIVE PROJECTS.ADVICE SENIOR MANAGEMENT ON PROGRAM STATUS,PROBLEMS,CLAIMS,ETC.",Technical Experts,CONSTRUCTION PLANNING CONSULTANT / SENIOR PROJECT DEVELOPMENT MANAGER,DAJEJARHI SDN BHD,Foreign Owned,"LLC, LFC, Private IHLs, NGO",,,,Business Services,ETP IDENTIFIED I.E. BUSINESS SERVICES,11964.5,Diploma/Vocational/Certificates,N/A,N/A,>15 years,"LFC<br/><br/>CONSTRUCTION & PROJECT MANAGEMENT COMPANY & A MULTI-DISCIPLINED CONTRACTOR FOR THE MINING & MINERALS PROCESSING, CIVIL WORKS & INFRASTRUCTURE, AND OIL & GAS SECTORS.<br/><br/>REVENUE TABLED TO ROC 2012: RM32,601,824<br/>LOSS BEFORE & AFTER TAX: (RM3 MILLION)"
4280,42,TECHNICAL SPECIALIST - CE MARKING,"HOLDING MULTIPLE RESPONSIBILITIES; AS TECHNICAL SPECIALIST/QA MANAGER & DEPUTY SECTION HEAD. ADDITIONAL RESPONSIBILITIES - QA MANAGER INCLUDES INTERNAL AUDITS BETWEEN DEPARTMENTS, COMPETENCE MAPPING AND BUILDING ETC, DEPUTY SECTION HEAD ?Çô ACT ON BEHALF OF SECTION HEAD ON HIS ABSENCE, RESPONSIBLE FOR TEAM MANAGEMENT IN ORDER TO ACHIEVE STIPULATED RESULTS BY THE MANAGEMENT. ROLES AND RESPONSIBILITIES AS TECHNICAL SPECIALIST REMAIN UNCHANGED. VERTICAL RESPONSIBLE FOR RBI, THIRD PARTY INSPECTION OF PRESSURE VESSELS, HEAT EXCHANGERS, PIPING, SUB SEA RISERS, OIL & GAS PLATFORM CONSTRUCTION/ MODIFICATION/ RE-ROUTING, CE MARKING OF PRESSURE VESSELS, HEAT EXCHANGERS, ATEX MARKING FOR EXPLOSIVE EQUIPMENTS AND HORIZONTAL RESPONSIBLE FOR OTHER DIRECTIVES, IN TERMS OF PROJECT FINALIZATION, EXECUTION, MANAGEMENT, TRAINING, TECHNICAL QUIRES AND RECOMMENDATION TO ISSUE CERTIFICATE. SUPPORT TO NEIGHBORING COUNTRIES INDIA, SINGAPORE, DUBAI, KOREA, INDONESIA, PHILLIPINES AND VIETNAM.VISION TO DEVELOP THE MARKET IN MALAYSIA.",Technical Experts,TECHNICAL SPECIALIST - INSPECTION & CE MARKING & DEPUTY SECTION HEAD,DET NORSKE VERITAS AS SDN BHD,Foreign Owned,Mulnationals/GLC/MYS Strong Performers/ITAPS,,,,Business Services,ETP IDENTIFIED I.E. BUSINESS SERVICES,21678.33398,Bachelors including Engineering Degree,N/A,N/A,>15 years,"MNC<br/><br/>PROVIDER OF SERVICES FOR MANAGING RISKS FOR SHIP TRANSPORTATION, ENERGY, AVIATION, AUTOMOTIVE, FINANCE, FOOD, HEALTH CARE & INFORMATION TECHNOLOGY INDUSTRIES<br/><br/>GLOBAL REVENUE 2010: USD $1,592,630,549<br/>REVENUE TABLED TO ROC 2013: RM34,608,677<br/>PROFIT BEFORE TAX: RM5.8 MILION<br/>PROFIT AFTER TAX: RM4.4 MILLION"
